Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport,Death_rate_ambient_ozone_pol,Death_rate_household_air_pol,Death_rate_all_causes,Death_actual_ozone,Death_actual_particulate,Death_actual_household,Death_under5,Death_5-14,Death_50-69,Death_70+,Death_15-49,Urban%,Child Mortality,Population,GDP,Forest area
Lebanon,2004,9.86594750690044,17208415,3.766,3931570.0,21190000.0,432.0,0.06,4000000.0,2.39320178593935,2.206052717751464,68.0127805826831,73.64588617180362,2306.4208660547497,74.44332659831045,78.36214890985191,1.077519429771946,772.480429210543,1365.835042679085,162.3116119973025,86.494,1.52,446.664418377322,14283.9628375919,137847.99999999997
Lebanon,2005,9.900401687309,16650191,3.5435,3834800.0,20650000.0,354.6,0.06,4000000.0,2.2347566554924243,1.8946112672822504,68.9258120691142,71.75510485437675,2418.641595503816,66.16876622442874,76.96522549518366,1.02473112065518,796.1381629200154,1446.8515403447595,169.41704047757798,86.627,1.41,459.3119257087,14263.7149426343,137765.0
Lebanon,2006,9.771032238479089,14792376,3.1078,3871270.0,19220000.0,290.0,0.05,3900000.0,2.0435862067790187,1.6215418614951902,70.38561520802264,68.43527871574028,2555.7011425572714,58.61096520607862,76.00579755192203,0.9619877683356648,828.8289851903783,1539.6057040393518,178.73394672303016,86.762,1.31,465.27468230694,14299.1033454106,137682.00000000003
Lebanon,2007,10.24775105009776,13746087,2.8834,3705270.0,17950000.0,112.4,0.04,3100000.0,2.1971469946653155,1.370455708335605,72.40061305656296,76.6251326745316,2715.113348842355,51.171299341919216,75.66923288607164,0.9411483600783626,868.2592772322663,1657.381511674537,189.487311363935,86.901,1.22,466.016324535679,15605.5638019335,137599.0
Lebanon,2008,10.4773655672367,17417775,3.6556,4097590.000000001,21940000.0,58.2,0.05,4500000.0,2.4743970136263287,1.145360139621705,74.36945765899476,89.64002266389284,2873.603390217437,44.074923330056485,74.77838530439331,0.9280212251330836,907.079733943806,1780.5204560290551,199.9368163789412,87.042,1.14,465.761974584555,17030.1473904525,137516.0
Lebanon,2009,10.7132157751048,20957555,4.3543,4660970.0,25850000.0,58.4,0.07,5100000.0,2.470695071160911,0.9497762414274366,75.63725685828302,92.72919891758468,3005.054791948497,37.589014917741714,73.12669621525484,0.949322333604478,936.0889517448522,1880.410202820972,207.2088177513953,87.187,1.08,470.481524926686,18584.3836353738,137433.0
Lebanon,2010,10.769626112896349,19996595,4.0372,4486150.0,24920000.0,88.6,0.06,5100000.0,2.3940658185260166,0.7928751394772666,75.79099702871858,92.886668697022,3093.069778838905,32.24529179710281,71.31051841321954,0.9413194174732722,951.9637241079414,1949.0190583287388,212.7218272685588,87.334,1.03,484.170478983382,19499.1728019089,137350.0
Lebanon,2011,10.81032802649702,20264128,3.8954,4727000.0,25660000.0,92.26,0.06,5100000.0,2.225550611705866,0.6693705557695248,75.77695538105208,89.41688190992414,3191.3037013495523,28.113125274499613,70.86846790831075,0.9548286176234706,984.4294412197278,2001.0874719321405,223.3803735816722,87.484,0.98,508.506549364614,18727.0129448191,137946.0
Lebanon,2012,10.79770150151998,22332032,4.0328,5242360.0,28270000.0,94.67,0.06,5400000.0,2.160443174209384,0.5568170368522902,75.22923361097402,89.8371109462465,3275.05925156906,24.1930322720406,71.75665743298994,0.9848118681114288,1015.011731554984,2040.5546420680632,236.5885195911572,87.636,0.94,541.311827956989,18039.0289485979,138542.0
Lebanon,2013,10.72805760534349,22163384,3.7482,5226650.0,28240000.0,72.61,0.06,5100000.0,2.1001762999285645,0.4607965757318609,74.52873412128208,90.16297020489829,3340.222357656065,20.616180368650262,70.98621834040203,1.0030980091213002,1039.5780961370567,2069.8229223076346,248.9949930667485,87.79,0.9,578.00742913001,17537.6227514575,139138.0
Lebanon,2014,10.61227441655881,23992028,3.832,5625300.0,30160000.0,69.69,0.07,5500000.0,1.9985038952633745,0.382715798278882,73.72576086643912,88.31850867755702,3384.5493621034134,17.537926533495092,67.31423277391934,1.0045952845596884,1055.218713587006,2092.6349580235783,256.695371111906,87.947,0.87,612.027956989247,16970.4361679142,139734.0
Libya,1999,11.53517549838895,45054524,8.5397,11383600.0,109470000.0,1472.6,0.18,11000000.0,1.7439556318183134,3.873779096030104,72.74020214154372,36.572297330008,1789.187844651079,96.60776278786597,197.9218133760516,4.130161838100374,620.1440062781165,755.4403133870428,248.1238471017737,76.284,2.89,2.99846607636087,16402.9608604597,217000.0
Libya,2000,11.52275871726458,47514863,8.8682,11244100.0,111360000.0,1596.5,0.19,11100000.0,1.6777215830568275,3.1529440263691217,73.53431626917308,36.19502430479926,1848.481548020504,80.29099817084395,190.3728858261217,4.010396959794228,636.3332941140021,789.41335087937,264.54664454601505,76.387,2.8100000000000005,3.04505325255464,16746.2738707408,217000.0
