Entity,Code,Year,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temp anomaly (Lower CI),Sea surface temp anomaly (Upper CI)
Tropics,,1887,-0.47245,-0.53817,-0.40475
Tropics,,1888,-0.06065,-0.12667,0.00271
Tropics,,1889,-0.04118,-0.10687,0.02696
Tropics,,1890,-0.60322,-0.67004,-0.53333
Tropics,,1891,-0.26611,-0.33396,-0.19146
Tropics,,1892,-0.56352,-0.63325,-0.49196
Tropics,,1893,-0.55525,-0.62467,-0.47879
Tropics,,1894,-0.56543,-0.63904,-0.48812
Tropics,,1895,-0.25475,-0.32742,-0.17271
Tropics,,1896,0.0099,-0.06463,0.09192
Tropics,,1897,0.03483,-0.04025,0.12375
Tropics,,1898,-0.48405,-0.562,-0.39237
Tropics,,1899,-0.29214,-0.37529,-0.19875
Tropics,,1900,-0.04336,-0.1265,0.05592
Tropics,,1901,-0.24358,-0.328,-0.14679
Tropics,,1902,-0.33935,-0.42608,-0.24008
Tropics,,1903,-0.48479,-0.57233,-0.37996
Tropics,,1904,-0.68078,-0.77221,-0.57121
Tropics,,1905,-0.34063,-0.43429,-0.22633
Tropics,,1906,-0.36615,-0.46187,-0.25179
Tropics,,1907,-0.46982,-0.55067,-0.36158
Tropics,,1908,-0.61605,-0.69954,-0.51638
Tropics,,1909,-0.5626,-0.65654,-0.46229
Tropics,,1910,-0.54728,-0.65233,-0.45662
Tropics,,1911,-0.58119,-0.69767,-0.50037
Tropics,,1912,-0.31268,-0.43187,-0.22471
Tropics,,1913,-0.39491,-0.51617,-0.30675
Tropics,,1914,-0.25395,-0.37733,-0.16004
Tropics,,1915,-0.11649,-0.237,-0.02187
Tropics,,1916,-0.49627,-0.61817,-0.39687
Tropics,,1917,-0.56981,-0.69021,-0.46821
Tropics,,1918,-0.4237,-0.54392,-0.31625
Tropics,,1919,-0.30032,-0.42175,-0.1915
Tropics,,1920,-0.3144,-0.44087,-0.19017
Tropics,,1921,-0.27673,-0.40521,-0.15754
Tropics,,1922,-0.37487,-0.50283,-0.25008
Tropics,,1923,-0.2988,-0.42792,-0.1705
Tropics,,1924,-0.27693,-0.40554,-0.15475
Tropics,,1925,-0.24614,-0.3755,-0.123
Tropics,,1926,0.04348,-0.08592,0.17446
Tropics,,1927,-0.14542,-0.27404,-0.02937
Tropics,,1928,-0.1986,-0.32646,-0.07646
Tropics,,1929,-0.28749,-0.41592,-0.17096
Tropics,,1930,-0.08475,-0.21229,0.04125
Tropics,,1931,0.07969,-0.04738,0.21546
Tropics,,1932,-0.17454,-0.30296,-0.04637
Tropics,,1933,-0.26331,-0.38137,-0.13429
Tropics,,1934,-0.26412,-0.37867,-0.14075
Tropics,,1935,-0.20433,-0.31871,-0.08725
Tropics,,1936,-0.13357,-0.24367,-0.01017
Tropics,,1937,0.0003,-0.1065,0.12933
Tropics,,1938,-0.22907,-0.32558,-0.10471
Tropics,,1939,-0.19015,-0.28558,-0.06696
Tropics,,1940,0.14966,0.041,0.27229
Tropics,,1941,0.18326,-0.05992,0.41042
Tropics,,1942,-0.04279,-0.28404,0.18046
Tropics,,1943,-0.12386,-0.36579,0.09817
Tropics,,1944,0.12369,-0.12196,0.34633
Tropics,,1945,0.14594,-0.09833,0.36475
Tropics,,1946,-0.09453,-0.26996,0.07133
Tropics,,1947,-0.11286,-0.29146,0.05333
Tropics,,1948,-0.153,-0.32175,0.00763
Tropics,,1949,-0.21778,-0.348,-0.08883
Tropics,,1950,-0.30972,-0.41125,-0.18704
Tropics,,1951,-0.04554,-0.13962,0.06913
Tropics,,1952,0.01694,-0.07337,0.14071
Tropics,,1953,0.09621,0.00242,0.23092
Tropics,,1954,-0.23071,-0.32021,-0.11254
Tropics,,1955,-0.37791,-0.46913,-0.271
Tropics,,1956,-0.3631,-0.45467,-0.266
Tropics,,1957,0.02676,-0.05563,0.11583
Tropics,,1958,0.09415,0.01587,0.19233
Tropics,,1959,-0.03658,-0.11704,0.06575
Tropics,,1960,-0.1026,-0.17462,-0.00767
Tropics,,1961,-0.13676,-0.18946,-0.06629
Tropics,,1962,-0.17795,-0.223,-0.12154
Tropics,,1963,0.03342,-0.01329,0.10525
Tropics,,1964,-0.24315,-0.2995,-0.17629
Tropics,,1965,-0.14781,-0.20025,-0.08121
Tropics,,1966,-0.01644,-0.06246,0.03963
Tropics,,1967,-0.28456,-0.32912,-0.23033
Tropics,,1968,-0.19284,-0.23075,-0.15492
Tropics,,1969,0.16513,0.13046,0.19613
Tropics,,1970,-0.11834,-0.14496,-0.09221
Tropics,,1971,-0.42421,-0.44771,-0.39871
Tropics,,1972,0.06341,0.04117,0.08754
Tropics,,1973,0.02229,-0.00179,0.04529
Tropics,,1974,-0.30312,-0.32867,-0.27696
Tropics,,1975,-0.36046,-0.391,-0.33746
Tropics,,1976,-0.19696,-0.22608,-0.17237
Tropics,,1977,0.08217,0.05233,0.10579
Tropics,,1978,0.00613,-0.0265,0.03046
Tropics,,1979,0.15591,0.126,0.17946
Tropics,,1980,0.18832,0.15854,0.20996
Tropics,,1981,0.09292,0.06288,0.11392
Tropics,,1982,0.22216,0.19338,0.24404
Tropics,,1983,0.36222,0.33367,0.38337
Tropics,,1984,0.06755,0.03717,0.08971
Tropics,,1985,-0.04512,-0.07858,-0.02192
Tropics,,1986,0.11925,0.08654,0.14175
Tropics,,1987,0.47569,0.44096,0.49821
Tropics,,1988,0.26985,0.23317,0.29179
Tropics,,1989,0.07459,0.04088,0.09713
Tropics,,1990,0.28776,0.25363,0.30917
Tropics,,1991,0.3265,0.29429,0.347
Tropics,,1992,0.25408,0.22117,0.27529
Tropics,,1993,0.26801,0.23579,0.29058
Tropics,,1994,0.28225,0.25071,0.30475
Tropics,,1995,0.38617,0.35575,0.40921
Tropics,,1996,0.26192,0.23179,0.28458
Tropics,,1997,0.50692,0.47525,0.52846
Tropics,,1998,0.64461,0.61279,0.66712
Tropics,,1999,0.12757,0.09525,0.149
Tropics,,2000,0.17346,0.14163,0.19379
Tropics,,2001,0.33835,0.30612,0.35846
Tropics,,2002,0.48184,0.44867,0.50179
Tropics,,2003,0.52864,0.49621,0.54888
Tropics,,2004,0.4374,0.40604,0.45817
Tropics,,2005,0.45416,0.42196,0.47521
Tropics,,2006,0.43658,0.40467,0.45737
Tropics,,2007,0.32347,0.29179,0.34438
Tropics,,2008,0.23972,0.20858,0.26267
Tropics,,2009,0.54985,0.51821,0.574
Tropics,,2010,0.52412,0.49129,0.54879
Tropics,,2011,0.22253,0.18996,0.24783
Tropics,,2012,0.37905,0.34704,0.40533
Tropics,,2013,0.42168,0.39083,0.44875
Tropics,,2014,0.54282,0.51263,0.57
Tropics,,2015,0.80844,0.77808,0.83613
Tropics,,2016,0.83837,0.80817,0.86646
Tropics,,2017,0.64178,0.61075,0.67104
Tropics,,2018,0.51342,0.48254,0.54342
Tropics,,2019,0.72706,0.69875,0.75808
Tropics,,2020,0.72565,0.69533,0.75471
