,Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport,Death_rate_ambient_ozone_pol,Death_rate_household_air_pol,Death_rate_all_causes,Death_actual_ozone,Death_actual_particulate,Death_actual_household,Death_under5,Death_5-14,Death_50-69,Death_70+,Death_15-49
2180,Suriname,2010,7.62589611972035,2395704,4.5277,5002780.7,6930000.0,1.3,0.01,600000.0,0.0391325902137408,14.09523613275456,45.30217636166167,0.1571222513797517,199.12160058860127,61.72282048813918,13.520693027655591,0.1765442327005799,75.50840949434283,85.68623009303718,24.3868459922448
2181,Suriname,2011,7.6404450084108495,2179800,4.073,4995384.7,7200000.0,4.01,0.01,600000.0,0.0515233250949774,12.80285203292414,44.71514540037348,0.2152573087201283,203.44819455972004,57.97613771678238,13.436678901432304,0.1586407445609888,77.29219200993045,87.6656629596486,25.11027725286771
2182,Suriname,2012,7.71227825014773,2634976,4.8683,5106994.8,7420000.0,1.51,0.01,700000.0,0.0807639881343362,11.683510165338475,45.43815980898692,0.3514834615392172,213.71741332355683,54.675260355495695,13.602305524385065,0.1673064580532284,81.27542213741063,93.91409800376992,25.10976466147724
2183,Suriname,2013,7.887305887826581,2744348,5.0144,5408467.5,7830000.0,1.24,0.01,600000.0,0.0736931284263433,11.096737149486358,48.64370205182167,0.3328479488294087,236.03212408561603,53.58463231896628,14.04853029533069,0.1788457486015049,92.00970289608536,104.7796434879386,25.34824960648954
2184,Sweden,1990,2.89593095443782,57378338,6.6973,53351593.0,48040000.0,2621.3,0.25,19900000.0,0.3821429793402881,0.1959367099729517,16.96247827195465,64.21781574519459,2694.598305916643,31.234262796593093,14.907677358929764,0.1198380936200401,595.975405723929,2066.2970630360624,81.51613744929804
2185,Sweden,1991,2.78746717269388,57752857,6.6959,52626279.2,48660000.0,1648.3,0.25,19600000.0,0.4390666655430643,0.1758606381139646,16.12142216417651,74.78364726862674,2593.2773938382447,28.40034068908633,14.793925870699216,0.1054072975061584,562.761662318182,2011.4927018239723,78.90734379651393
2186,Sweden,1992,2.66983429384772,57495155,6.6187,52866729.7,51260000.0,1691.9,0.25,20300000.0,0.4359024981973604,0.1555596446970529,15.137496779962577,75.26976803844632,2471.2552956958366,25.51394187339478,13.340188503049127,0.1029393105060698,519.895036247946,1940.308421473378,72.87847819940966
2187,Sweden,1993,2.58642012642518,57536238,6.578,53482144.400000006,51160000.0,1051.1,0.25,19400000.0,0.5376828873692309,0.1388469316938315,14.381640526507894,93.94572967108212,2380.02485119126,23.10066531107463,12.032676233124224,0.1045892242022292,487.2935449008818,1905.8220820776785,68.71768842646108
2188,Sweden,1994,2.46530199764484,59999754,6.8195,53734182.2,53010000.0,418.2,0.26,20100000.0,0.5192458213666133,0.1204517553322258,13.29477820266153,91.70828602343067,2224.922930214388,20.27315137599655,10.52117585125611,0.084991059895471,448.55582920762345,1793.5330037845465,63.936216334498965
2189,Switzerland,1990,5.836165490211799,44152768,6.6366,12090278.1,50770000.0,3393.6,0.19,14500000.0,1.8068749388711456,0.0538256148586236,32.87767725492638,202.58558682582392,3556.349952403913,5.84105401189905,17.806846186129714,0.2693636382831182,880.5679834564696,2716.8468140006635,143.4445319481908
