year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area
1989,1,      Goddard,      S,4.74,3.17,1989.0,2.0,      Goddard,      S,2.98,2.03,1989.0,3.0,      Goddard,      S,3.93,2.59,1989.0,4.0,      Goddard,      S,6.31,4.5,1989.0,5.0,      Goddard,      S,10.3,8.0,1989.0,6.0,      Goddard,      S,13.58,10.81,1989.0,7.0,      Goddard,      S,15.71,12.58,1989.0,8.0,      Goddard,      S,17.47,14.03,1989.0,9.0,      Goddard,      S,18.12,14.48,1989.0,10.0,      Goddard,      S,17.86,13.85,1988,11,      Goddard,      S,16.15,12.29,1988,12,      Goddard,      S,11.06,7.4
1990,1,      Goddard,      S,4.87,3.39,1990.0,2.0,      Goddard,      S,3.04,2.21,1990.0,3.0,      Goddard,      S,3.97,2.79,1990.0,4.0,      Goddard,      S,7.0,5.18,1990.0,5.0,      Goddard,      S,9.72,7.46,1990.0,6.0,      Goddard,      S,13.08,10.35,1990.0,7.0,      Goddard,      S,15.57,12.27,1990.0,8.0,      Goddard,      S,17.57,14.03,1990.0,9.0,      Goddard,      S,18.19,14.39,1990.0,10.0,      Goddard,      S,17.95,13.8,1989,11,      Goddard,      S,15.73,11.42,1989,12,      Goddard,      S,9.84,6.7
1991,1,      Goddard,      S,5.34,3.52,1991.0,2.0,      Goddard,      S,3.16,2.09,1991.0,3.0,      Goddard,      S,3.81,2.65,1991.0,4.0,      Goddard,      S,7.05,5.18,1991.0,5.0,      Goddard,      S,10.28,7.86,1991.0,6.0,      Goddard,      S,13.07,9.99,1991.0,7.0,      Goddard,      S,15.55,12.22,1991.0,8.0,      Goddard,      S,17.72,14.05,1991.0,9.0,      Goddard,      S,18.31,14.47,1991.0,10.0,      Goddard,      S,17.92,13.8,1990,11,      Goddard,      S,15.47,11.35,1990,12,      Goddard,      S,9.95,6.73
1992,1,      Goddard,      S,4.75,3.24,1992.0,2.0,      Goddard,      S,2.84,1.86,1992.0,3.0,      Goddard,      S,3.57,2.47,1992.0,4.0,      Goddard,      S,6.79,5.0,1992.0,5.0,      Goddard,      S,9.92,7.62,1992.0,6.0,      Goddard,      S,12.81,10.0,1992.0,7.0,      Goddard,      S,15.89,12.58,1992.0,8.0,      Goddard,      S,17.73,14.17,1992.0,9.0,      Goddard,      S,18.15,14.13,1992.0,10.0,      Goddard,      S,17.93,13.85,1991,11,      Goddard,      S,15.58,11.46,1991,12,      Goddard,      S,10.19,6.8
1993,1,      Goddard,      S,4.41,2.55,1993.0,2.0,      Goddard,      S,2.48,1.37,1993.0,3.0,      Goddard,      S,3.67,2.24,1993.0,4.0,      Goddard,      S,6.65,4.9,1993.0,5.0,      Goddard,      S,10.1,7.89,1993.0,6.0,      Goddard,      S,13.15,10.37,1993.0,7.0,      Goddard,      S,15.85,12.72,1993.0,8.0,      Goddard,      S,17.49,13.93,1993.0,9.0,      Goddard,      S,18.54,14.7,1993.0,10.0,      Goddard,      S,18.13,14.17,1992,11,      Goddard,      S,15.9,11.2,1992,12,      Goddard,      S,10.21,6.18
1994,1,      Goddard,      S,4.97,3.37,1994.0,2.0,      Goddard,      S,3.2,2.22,1994.0,3.0,      Goddard,      S,4.55,3.2,1994.0,4.0,      Goddard,      S,7.22,5.45,1994.0,5.0,      Goddard,      S,10.41,8.21,1994.0,6.0,      Goddard,      S,13.56,10.73,1994.0,7.0,      Goddard,      S,16.3,13.12,1994.0,8.0,      Goddard,      S,17.84,14.49,1994.0,9.0,      Goddard,      S,18.61,14.61,1994.0,10.0,      Goddard,      S,18.09,14.07,1993,11,      Goddard,      S,16.04,11.83,1993,12,      Goddard,      S,9.93,6.67
1995,1,      Goddard,      S,5.64,3.73,1995.0,2.0,      Goddard,      S,3.56,2.19,1995.0,3.0,      Goddard,      S,4.63,3.01,1995.0,4.0,      Goddard,      S,7.27,5.4,1995.0,5.0,      Goddard,      S,10.42,8.19,1995.0,6.0,      Goddard,      S,13.29,10.46,1995.0,7.0,      Goddard,      S,15.74,12.53,1995.0,8.0,      Goddard,      S,17.78,14.2,1995.0,9.0,      Goddard,      S,18.37,14.46,1995.0,10.0,      Goddard,      S,18.03,13.57,1994,11,      Goddard,      S,15.88,11.78,1994,12,      Goddard,      S,10.1,7.11
1996,1,      Goddard,      S,5.87,3.55,1996.0,2.0,      Goddard,      S,2.98,1.77,1996.0,3.0,      Goddard,      S,4.18,2.65,1996.0,4.0,      Goddard,      S,7.28,5.37,1996.0,5.0,      Goddard,      S,10.92,8.65,1996.0,6.0,      Goddard,      S,13.87,11.09,1996.0,7.0,      Goddard,      S,16.12,12.89,1996.0,8.0,      Goddard,      S,17.74,13.9,1996.0,9.0,      Goddard,      S,18.63,14.54,1996.0,10.0,      Goddard,      S,17.96,13.94,1995,11,      Goddard,      S,15.63,11.49,1995,12,      Goddard,      S,10.62,7.19
1997,1,      Goddard,      S,4.2,2.77,1997.0,2.0,      Goddard,      S,2.49,1.72,1997.0,3.0,      Goddard,      S,3.46,2.3,1997.0,4.0,      Goddard,      S,6.49,4.84,1997.0,5.0,      Goddard,      S,10.12,7.91,1997.0,6.0,      Goddard,      S,13.12,10.22,1997.0,7.0,      Goddard,      S,15.92,12.75,1997.0,8.0,      Goddard,      S,17.68,14.09,1997.0,9.0,      Goddard,      S,18.6,14.59,1997.0,10.0,      Goddard,      S,17.99,14.12,1996,11,      Goddard,      S,15.72,11.24,1996,12,      Goddard,      S,9.65,6.24
1998,1,      Goddard,      S,4.46,3.04,1998.0,2.0,      Goddard,      S,2.99,1.87,1998.0,3.0,      Goddard,      S,4.11,2.71,1998.0,4.0,      Goddard,      S,6.85,5.12,1998.0,5.0,      Goddard,      S,10.33,7.91,1998.0,6.0,      Goddard,      S,13.31,10.34,1998.0,7.0,      Goddard,      S,15.96,12.66,1998.0,8.0,      Goddard,      S,17.88,14.06,1998.0,9.0,      Goddard,      S,18.9,14.84,1998.0,10.0,      Goddard,      S,18.66,14.54,1997,11,      Goddard,      S,15.73,11.59,1997,12,      Goddard,      S,10.29,6.99
